entity,year,percent_gdp,gdp,education_spend
Portugal,1991,4.07093000411987,17528.94,713.5908778641696
Portugal,1992,4.33703994750977,17704.43,767.848201578904
Portugal,1993,4.84046983718872,17272.82,836.0856421319007
Portugal,1994,4.67083978652954,17335.38,809.7078261860847
Portugal,1995,4.612860202789309,18009.83,830.76828066001
Portugal,1996,5.065120220184331,18576.14,940.9038232697495
Portugal,1999,5.045350074768071,20741.51,1046.481790293027
Portugal,2000,5.16176986694336,21418.33,1105.56490394249
Portugal,2001,5.335060119628911,21727.02,1159.1495792037974
Portugal,2002,5.2558798789978,21795.2,1145.5295313873287
Portugal,2003,5.2782697677612305,21496.63,1134.650122377491
Portugal,2004,5.0423002243042,21794.16,1098.9269785652164
Portugal,2005,5.07075977325439,21873.84,1109.1698795860282
Portugal,2006,4.90802001953125,22130.49,1086.1688796203614
Portugal,2007,4.92190980911255,22603.21,1112.5096101643087
Portugal,2008,4.70212984085083,22575.97,1061.5514222315312
Portugal,2009,5.562139987945559,21840.19,1214.781941433287
Portugal,2010,5.4028902053833,22197.15,1199.2876432242392
Portugal,2011,5.12129020690918,21741.95,1113.4683561410905
Portugal,2012,4.94640016555786,20825.19,1030.097232637739
Portugal,2013,5.277870178222661,20555.87,1084.9121326042184
Portugal,2014,5.12325000762939,20711.54,1061.1039746301642
Russia,2000,2.93981003761292,6470.81,190.2295218948606
Russia,2001,3.1060199737548797,6833.75,212.2576399564741
Russia,2002,3.8390200138092,7197.48,276.3126976899144
Russia,2003,3.67853999137878,7764.88,285.63421608257266
Russia,2004,3.5478699207305895,8364.7,296.76867525935165
Russia,2005,3.7719299793243395,8940.29,337.221478748536
Russia,2006,3.86626005172729,9708.78,375.3666826500888
Russia,2008,4.101749897003169,11117.12,455.99645814971876
Russia,2012,3.7897300720214804,11677.15,442.53246510505625
Singapore,1980,2.56030011177063,13309.16,340.75443835573196
Singapore,1981,2.58428001403809,14025.33,362.4538000928884
Singapore,1982,3.2685499191284197,14370.94,469.7213477479937
Singapore,1983,3.949049949646,15381.39,607.4187740498548
Singapore,1988,3.65583992004395,19425.28,710.1571408203133
Singapore,2000,3.32136011123657,33098.58,1099.323033505725
Singapore,2001,3.55137991905212,31948.78,1134.62255730214
Singapore,2002,3.9006299972534197,32425.45,1264.796829444409
Singapore,2003,4.00778007507324,33019.75,1323.3589613389963
Singapore,2004,3.67701005935669,35307.57,1298.2629006144048
Singapore,2005,3.21966004371643,37065.88,1193.3953282118796
Singapore,2006,2.86787009239197,39427.01,1130.7154281143912
Singapore,2007,2.9633600711822496,42052.69,1246.1726243180508
Singapore,2008,2.77936005592346,41860.81,1163.4626322260133
Singapore,2009,3.03184008598328,40738.34,1235.1213224841608
Singapore,2010,3.1083600521087598,45995.23,1429.697355195544
Singapore,2011,3.07418990135193,47921.64,1473.202217442227
Singapore,2012,3.11265993118286,48884.23,1521.599839877271
Singapore,2013,2.9128398895263703,50377.66,1467.4205758899707
South Korea,1980,3.48096990585327,3699.83,128.78996886773103
South Korea,1981,2.9189600944519003,3904.15,113.96058052754387
South Korea,1982,6.377319812774661,4162.02,265.42532607164395
South Korea,1983,4.35188007354736,4644.19,202.10957918767912
South Korea,1984,4.04315996170044,5066.21,204.8349742956639
South Korea,1985,4.0271201133728,5405.32,217.67872891216263
South Korea,1986,3.67684006690979,5952.5,218.86390498280525
South Korea,1987,3.4161500930786097,6628.99,226.4562480551717
South Korea,1988,2.78400993347168,7345.96,204.51225610885623
South Korea,1989,3.10540008544922,7784.94,241.7535334121705
South Korea,1990,3.0824499130249,8464.99,260.92907689256646
South Korea,1991,3.54189991950989,9239.95,327.26978161275406
South Korea,1992,3.63384008407593,9699.29,352.4566878907683
South Korea,1993,3.7578799724578897,10253.46,385.31271982398073
South Korea,1994,3.0714099407196005,11094.28,340.7508187712665
South Korea,1995,2.99060010910034,12051.99,360.426826088762
South Korea,1998,3.4499499797821005,12689.35,437.77622775948
South Korea,1999,3.45444011688232,14022.89,484.4123377062791
South Korea,2001,3.8974299430847203,15730.35,613.0793710520273
